Sr_No,Pokemon,Type,Evolution_Method,Species,Generation,Alternative_Forms,Which_AF,AF_Type,Branched_Evo,Branched_Evo_Type,Other_Mechanics,Mechanics_Types,Height (m),Weight (kg),BMI,HP,Attack,Defence,Special_Attack,Special_Defence,Speed,Total,Ability,Special_Ability,Ability_AF,Special_Ability_AF,Height (m)_AF,Weight (kg)_AF,BMI_AF,HP_AF,Attack_AF,Defence_AF,Special_Attack_AF,Special_Defence_AF,Speed_AF,Total_AF
99,Krabby,Water,Kingler,River Crab,1,NA,NA,NA,NA,NA,NA,NA,0.4,6.5,40.625,30,105,90,25,25,50,325,"Hyper Cutter, Shell Armor",Sheer Force,NA,NA,0,0,0,0,0,0,0,0,0,0
100,Kingler,Water,Krabby,Pincer,1,NA,NA,NA,NP,NP,Gigantimax,NA,1.3,60,35.50295858,55,130,115,50,50,75,475,"Hyper Cutter, Shell Armor",Sheer Force,NA,NA,0,0,0,0,0,0,0,0,0,0
101,Voltorb,Electric,Electrode,Ball,1,Yes,Hisuian,Electric / Grass,NA,NA,NA,NA,0.5,10.4,41.6,40,30,50,55,55,100,330,"Soundproof, Static",Aftermath,"Soundproof, Static",Aftermath,0.5,13,52,40,30,50,55,55,100,330
102,Electrode,Electric,Voltorb,Ball,1,Yes,Hisuian,Electric / Grass,NP,NP,NA,NA,1.2,66.6,46.25,60,50,70,80,80,150,490,"Soundproof, Static",Aftermath,"Soundproof, Static",Aftermath,1.2,71,49.30555556,60,50,70,80,80,150,490
103,Exeggcute,Grass / Psychic,Exeggutor,Egg,1,NA,NA,NA,Alolan Exeggutor,Grass / Dragon,NA,NA,0.4,2.5,15.625,60,40,80,60,45,40,325,Chlorophyll,Harvest,NA,NA,0,0,0,0,0,0,0,0,0,0
104,Exeggutor,Grass / Psychic,Exeggcute,Coconut,1,Yes,Alolan,Grass / Dragon,NP,NP,NA,NA,2,120,30,95,95,85,125,75,55,530,Chlorophyll,Harvest,Frisk,Harvest,10.9,415.6,3.498022052,95,105,85,125,75,45,530
105,Cubone,Ground,Marowak,Lonely,1,NA,NA,NA,NA,NA,NA,NA,0.4,6.5,40.625,50,50,95,40,50,35,320,"Rock Head, Lightning Rod",Battle Armor,NA,NA,0,0,0,0,0,0,0,0,0,0
106,Marowak,Ground,Cubone,Bone Keeper,1,Yes ,Alolan,Fire / Ghost,NP,NP,NA,NA,1,45,45,60,80,110,50,80,45,425,"Rock Head, Lightning Rod",Battle Armor,"Cursed Body, Lightning Rod",Rock Head,1,34,34,60,80,110,50,80,45,425
107,Hitmonlee,Fighting,"Tyrogue, Himonchan, Hitmontop",Kicking,1,NA,NA,NA,NP,NP,NA,NA,1.5,49.8,22.13333333,50,120,53,35,110,87,455,"Limber, Reckless",Unburden,NA,NA,0,0,0,0,0,0,0,0,0,0
108,Hitmonchan,Fighting,"Tyrogue, Hitmonlee, Hitmonchan",Punching,1,NA,NA,NA,NP,NP,NA,NA,1.4,50.2,25.6122449,50,105,79,35,110,76,455,"Keen Eye, Iron Fist",Inner Focus,NA,NA,0,0,0,0,0,0,0,0,0,0
109,Lickitung,Normal,Lickilicky,Licking,1,NA,NA,NA,NA,NA,NA,NA,1.2,65.5,45.48611111,90,55,75,60,75,30,385,"Own Tempo, Oblivious",Cloud Nine,NA,NA,0,0,0,0,0,0,0,0,0,0
110,Koffing,Poison,Weezing,Poison Gas,1,NA,NA,NA,NA,NA,NA,NA,0.6,1,2.777777778,40,65,95,60,45,35,340,"Levitate, Neutralizing Gas",Stench,NA,NA,0,0,0,0,0,0,0,0,0,0
111,Weezing,Poison,Koffing,Poison Gas,1,Yes,Galarian,Poison / Fairy,NP,NP,NA,NA,1.2,9.5,6.597222222,65,90,120,85,70,60,490,"Levitate, Neutralizing Gas",Stench,"Levitate, Neutralizing Gas",Misty Surge,3,16,1.777777778,65,90,120,85,70,60,490
112,Rhyhorn,Ground / Rock,"Rhydon (Lv -42), Rhyperior (Trade holding Protector)",Spikes,1,NA,NA,NA,NA,NA,NA,NA,1,115,115,80,85,95,30,30,25,345,"Lightning Rod, Rock Head",Reckless,NA,NA,0,0,0,0,0,0,0,0,0,0
113,Rhydon,Ground / Rock,"Rhyhorn, Rhyperior (Trade holding Protector)",Drill,1,NA,NA,NA,NA,NA,NA,NA,1.9,120,33.24099723,105,130,120,45,45,40,485,"Lightning Rod, Rock Head",Reckless,NA,NA,0,0,0,0,0,0,0,0,0,0
114,Chansey,Normal,"Happiny, Blissey (high Friendship)",Egg,1,NA,NA,NA,NA,NA,NA,NA,1.1,34.6,28.59504132,250,5,5,35,105,50,450,"Natural Cure, Serene Grace",Healer,NA,NA,0,0,0,0,0,0,0,0,0,0
115,Tangela,Grass,Tangrowth (after Ancient Power learned),Vine,1,NA,NA,NA,NA,NA,NA,NA,1,35,35,65,55,115,100,40,60,435,"Chlorophyll, Leaf Guard",Regenerator,NA,NA,0,0,0,0,0,0,0,0,0,0
116,Kangaskhan,Normal,NA,Parent,1,NA,NA,NA,NP,NP,Mega-Evolution,Normal,2.2,80,16.52892562,105,95,80,40,80,90,490,"Early Bird, Scrappy",Inner Focus,NA,NA,0,0,0,0,0,0,0,0,0,0
117,Horsea,Water,"Seadra (Lv - 32), Kingdra (trade holding Dragon Scale)",Dragon,1,NA,NA,NA,NA,NA,NA,NA,0.4,8,50,30,40,70,70,25,60,295,"Swift Swim, Sniper",Damp,NA,NA,0,0,0,0,0,0,0,0,0,0
118,Seadra,Water,"Horsea, Kingdra (trade holding Dragon Scale)",Dragon,1,NA,NA,NA,NA,NA,NA,NA,1.2,25,17.36111111,55,65,95,95,45,85,440,"Poison Point, Sniper",Damp,NA,NA,0,0,0,0,0,0,0,0,0,0
119,Goldeen,Water,Seaking (Lv - 33),Goldfish,1,NA,NA,NA,NA,NA,NA,NA,0.6,15,41.66666667,45,67,60,35,50,63,320,"Swift Swim, Water Veil",Lightning Rod,NA,NA,0,0,0,0,0,0,0,0,0,0
120,Seaking,Water,Goldeen,Goldfish,1,NA,NA,NA,NP,NP,NA,NA,1.3,39,23.07692308,80,92,65,65,80,68,450,"Swift Swim, Water Veil",Lightning Rod,NA,NA,0,0,0,0,0,0,0,0,0,0
121,Staryu,Water,"Starmie (Water Stone), Mega Evo (Starminite)",Star Shape,1,NA,NA,NA,NA,NA,Mega-Evolution,Water / Psychic,0.8,34.5,53.90625,30,45,55,70,55,85,340,"Illuminate, Natural Cure",Analytic,NA,NA,0,0,0,0,0,0,0,0,0,0
122,Starmie,Water / Psychic,"Staryu, Mega Evo (Starminite)",Mysterious,1,NA,NA,NA,NP,NP,Mega-Evolution,Water / Psychic,1.1,80,66.11570248,60,75,85,100,85,115,520,"Illuminate, Natural Cure",Analytic,NA,NA,0,0,0,0,0,0,0,0,0,0
123,Mr. Mime,Psychic / Fairy,Mime Jr,Barrier,1,Yes,Galarian,Ice / Psychic,Mr. Rime,Ice / Psychic,NA,NA,1.3,54.5,32.24852071,40,45,65,100,120,90,460,"Soundproof, Filter",Technician,"Vital Spirit, Screen Cleaner",Ice Body,1.4,56.8,28.97959184,50,65,65,90,90,100,460
124,Scyther,Bug / Flying,"Scizor (trade holding Metal Coat), Mega Evo (Scizorite), Kleavor (Black Augurite)",Mantis,1,NA,NA,NA,Kleavor,Bug / Rock,Mega-Evolution,Bug / Steel,1.5,56,24.88888889,70,110,80,55,80,105,500,"Swarm, Technician",Steadfast,NA,NA,0,0,0,0,0,0,0,0,0,0
125,Jynx,Ice / Psychic,Smoochum,Human Shape,1,NA,NA,NA,NP,NP,NA,NA,1.4,40.6,20.71428571,65,50,35,115,95,95,455,"Oblivious, Forewarn",Dry Skin,NA,NA,0,0,0,0,0,0,0,0,0,0
126,Electabuzz,Electric,"Elekid, Electivire (trade holding Electirizer)",Electric,1,NA,NA,NA,NA,NA,NA,NA,1.1,30,24.79338843,65,83,57,95,85,105,490,Static,Vital Spirit,NA,NA,0,0,0,0,0,0,0,0,0,0
127,Magmar,Fire,"Magby, Magmortar (trade holding Magmarizer)",Spitfire,1,NA,NA,NA,NA,NA,NA,NA,1.3,44.5,26.33136095,65,95,57,100,85,93,495,Flame Body,Vital Spirit,NA,NA,0,0,0,0,0,0,0,0,0,0
128,Pinsir,Bug ,Mega Evo (Pinsirite),Stag Beetle,1,NA,NA,NA,NP,NP,Mega-Evolution,Bug / Flying,1.5,55,24.44444444,65,120,100,55,70,85,495,"Hyper Cutter, Mold Breaker",Moxie,NA,NA,0,0,0,0,0,0,0,0,0,0
129,Tauros,Normal,NA,Wild Bull,1,Yes,"Paldea - Combat, Blaze, Aqua","Fighting, Fighting / Fire, Fighting / Water",NP,NP,NA,NA,1.4,88.4,45.10204082,75,100,95,40,70,110,490,"Intimidate, Anger Point",Sheer Force,"Intimidate, Anger Point",Cud Chew,1.4,103.3,52.70408163,75,110,105,30,70,100,490
130,Magikarp,Water,"Gyarados (Lv - 20), Mega Evo (Gyaradosite)",Fish,1,NA,NA,NA,NA,NA,Mega-Evolution,Water / Dark,0.9,10,12.34567901,20,10,55,15,20,80,200,Swift Swim,Rattled,NA,NA,0,0,0,0,0,0,0,0,0,0
131,Gyarados,Water / Flying,"Magikarp, Mega Evo (Gyaradosite)",Atrocious,1,NA,NA,NA,NA,NA,Mega-Evolution,Water / Dark,6.5,235,5.562130178,95,125,79,60,100,81,540,Intimidate,Moxie,NA,NA,0,0,0,0,0,0,0,0,0,0
132,Lapras,Water / Ice,NA,Transport,1,NA,NA,NA,NP,NP,Gigantimax,NA,2.5,220,35.2,130,85,80,85,95,60,535,"Water Absorb, Shell Armor",Hydration,NA,NA,0,0,0,0,0,0,0,0,0,0
133,Ditto,Normal,NA,Transform,1,NA,NA,NA,NP,NP,NA,NA,0.1,4,400,48,48,48,48,48,48,288,Limber,Imposter,NA,NA,0,0,0,0,0,0,0,0,0,0
134,Eevee,Normal,"Vaporeon (Water Stone), Jolteon (Thunder Stone), Flareon (Fire Stone), Espeon (high Friendship  during Daytime), Umbreon (high Friendship during Nighttime), Glaceon (Lv up near Ice Rock, Ice Stone), Leafeon (Lv  near Moss-Rock, Leaf Stone), Sylveon (after Fairy Type move learned, eihter Friendship has two hearts )",Evolution,1,Yes,Partner,Normal,"Vaporean, Jolteon, Flareon, Espeon, Umbreon, Leafeon, Glaceon, Sylveon","Water, Electric, Fire, Psychic, Dark, Grass, Ice, Fairy",NA,NA,0.3,6.5,72.22222222,55,55,50,45,65,55,325,"Run Away, Adaptability",Anticipation,NA,NA,0.3,6.5,72.22222222,65,75,70,65,85,75,435
135,Vaporeon,Water,"Eevee, Jolteon (Thunder Stone), Flareon (Fire Stone), Espeon (high Friendship  during Daytime), Umbreon (high Friendship during Nighttime), Glaceon (Lv up near Ice Rock, Ice Stone), Leafeon (Lv  near Moss-Rock, Leaf Stone),  Sylveon (after Fairy Type move learned, eihter Friendship has two hearts )",Bubble Jet,1,NA,NA,NA,NP,NP,NA,NA,1,29,29,130,65,60,110,95,65,525,Water Absorb,Hydration,NA,NA,0,0,0,0,0,0,0,0,0,0
136,Jolteon,Electric,"Eevee, Vaporeon (Water Stone), Flareon (Fire Stone), Espeon (high Friendship  during Daytime), Umbreon (high Friendship during Nighttime), Glaceon (Lv up near Ice Rock, Ice Stone), Leafeon (Lv  near Moss-Rock, Leaf Stone),  Sylveon (after Fairy Type move learned, eihter Friendship has two hearts )",Lightning,1,NA,NA,NA,NP,NP,NA,NA,0.8,24.5,38.28125,65,65,60,110,95,130,525,Volt Absorb,Quick Feet,NA,NA,0,0,0,0,0,0,0,0,0,0
137,Flareon,Fire,"Eevee, Vaporeon (Water Stone), Jolteon (Thunder Stone), Espeon (high Friendship  during Daytime), Umbreon (high Friendship during Nighttime), Glaceon (Lv up near Ice Rock, Ice Stone), Leafeon (Lv  near Moss-Rock, Leaf Stone),  Sylveon (after Fairy Type move learned, eihter Friendship has two hearts )",Flame,1,NA,NA,NA,NP,NP,NA,NA,0.9,25,30.86419753,65,130,60,95,110,65,525,Flash Fire,Guts,NA,NA,0,0,0,0,0,0,0,0,0,0
138,Porygon,Normal,"Porygon2 (Trade holding Upgrade), Porygon-Z (Trade holding Dubious Disc)",Virtual,1,NA,NA,NA,"Porygon2, Porygon-Z",Normal,NA,NA,0.8,36.5,57.03125,65,60,70,85,75,40,395,"Trace, Download",Analytic,NA,NA,0,0,0,0,0,0,0,0,0,0
139,Omanyte,Water,Omastar (Lv - 40),Spiral,1,NA,NA,NA,NA,NA,NA,NA,0.4,7.5,46.875,35,40,100,90,55,35,355,"Swift Swim, Shell Armor",Weak Armor,NA,NA,0,0,0,0,0,0,0,0,0,0
140,Omastar,Rock / Water,Omanyte,Spiral,1,NA,NA,NA,NP,NP,NA,NA,1,35,35,70,60,125,115,70,55,495,"Swift Swim, Shell Armor",Weak Armor,NA,NA,0,0,0,0,0,0,0,0,0,0
141,Kabuto,Rock / Water,Kabutops (Lv - 40),Shellfish,1,NA,NA,NA,NA,NA,NA,NA,0.5,11.5,46,30,80,90,55,45,55,355,"Swift Swim, Battle Armor",Weak Armor,NA,NA,0,0,0,0,0,0,0,0,0,0
142,Kabutops,Rock / Water,Kabuto,Shellfish,1,NA,NA,NA,NP,NP,NA,NA,1.3,40.5,23.96449704,60,115,105,65,70,80,495,"Swift Swim, Battle Armor",Weak Armor,NA,NA,0,0,0,0,0,0,0,0,0,0
143,Aerodactyl,Rock / Flying,Mega Evo (Aerodactylite),Fossil,1,NA,NA,NA,NP,NP,Mega-Evolution,Rock / Flying,1.8,59,18.20987654,80,105,65,60,75,130,515,"Rock Head, Pressure",Unnerve,NA,NA,0,0,0,0,0,0,0,0,0,0
144,Snorlax,Normal,Munchlax ,Sleeping,1,NA,NA,NA,NP,NP,Gigantimax,NA,2.1,460,104.30839,160,110,65,65,110,30,540,"Immunity, Thick Fat",Gluttony,NA,NA,0,0,0,0,0,0,0,0,0,0
145,Articuno,Ice / Flying,NA,Freeze,1,Yes,Galarian,Psychic / Flying,NP,NP,NA,NA,1.7,55.4,19.16955017,90,85,100,95,125,85,580,Pressure,Snow Cloak,Competitive,NA,1.7,50.9,17.61245675,90,85,85,125,100,95,580
146,Zapdos,Electric / Flying,NA,Electric,1,Yes,Galarian,Fighting / Flying,NP,NP,NA,NA,1.6,52.6,20.546875,90,90,85,125,90,100,580,Pressure,Static,Defiant,NA,1.6,58.2,22.734375,90,125,90,85,90,100,580
147,Moltres,Fire / Flying,NA,Flame,1,Yes,Galarian,Dark / Flying,NP,NP,NA,NA,2,60,15,90,100,90,125,85,90,580,Pressure,Flame Body,Berserk,NA,2,66,16.5,90,85,90,100,125,90,580
148,Dratini,Dragon,"Dragonair (Lv - 30), Dragonite (Lv - 55), Mega Evo (Dragoninite)",Dragon,1,NA,NA,NA,NA,NA,Mega-Evolution,Dragon / Flying,1.8,3.3,1.018518519,41,64,45,50,50,50,300,Shed Skin,Marvel Scale,NA,NA,0,0,0,0,0,0,0,0,0,0
149,Dragonair,Dragon,"Dratini, Dragonite (Lv - 55), Mega Evo (Dragoninite)",Dragon,1,NA,NA,NA,NA,NA,Mega-Evolution,Dragon / Flying,4,16.5,1.03125,61,84,65,70,70,70,420,Shed Skin,Marvel Scale,NA,NA,0,0,0,0,0,0,0,0,0,0
150,Dragonite,Dragon / Flying,"Dratini, Dragonair, Mega Evo (Dragoninite)",Dragon,1,NA,NA,NA,NP,NP,Mega-Evolution,Dragon / Flying,2.2,210,43.38842975,91,134,95,100,100,80,600,Inner Focus,Multiscale,NA,NA,0,0,0,0,0,0,0,0,0,0
151,Mewtwo,Psychic,"Mega Evo X (Mewtwonite X), Mega Evo Y (Mewtwonite Y)",Genetic,1,NA,NA,NA,NP,NP,Mega-Evolution,"Psychic / Fighting, Psychic",2,122,30.5,106,110,90,154,90,130,680,Pressure,Unnerve,NA,NA,0,0,0,0,0,0,0,0,0,0
152,Mew,Psychic,NA,New Species,1,NA,NA,NA,NP,NP,NA,NA,0.4,4,25,100,100,100,100,100,100,600,Synchronize,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
153,Chikorita,Grass,"Bayleef (Lv - 16), Meganium (Lv - 32), Mega Evo (Meganiumite)",Leaf,2,NA,NA,NA,NA,NA,Mega-Evolution,Grass / Fairy,0.9,6.4,7.901234568,45,49,65,49,65,45,318,Overgrow,Leaf Guard,NA,NA,0,0,0,0,0,0,0,0,0,0
154,Bayleef,Grass,"Chikorita, Meganium (Lv - 32), Mega Evo (Meganiumite)",Leaf,2,NA,NA,NA,NA,NA,Mega-Evolution,Grass / Fairy,1.2,15.8,10.97222222,60,62,80,63,80,60,405,Overgrow,Leaf Guard,NA,NA,0,0,0,0,0,0,0,0,0,0
155,Meganium,Grass,"Chikorita, Bayleef, Mega Evo (Meganiumite)",Herb,2,NA,NA,NA,NP,NP,Mega-Evolution,Grass / Fairy,1.8,100.5,31.01851852,80,82,100,83,100,80,525,Overgrow,Leaf Guard,NA,NA,0,0,0,0,0,0,0,0,0,0
156,Cyndaquil,Fire,"Quilava (Lv - 14 / 17), Typhlosion (Lv - 36)",Fire Mouse,2,NA,NA,NA,NA,NA,NA,NA,0.5,7.9,31.6,39,52,43,60,50,65,309,Blaze,Flash Fire,NA,NA,0,0,0,0,0,0,0,0,0,0
157,Quilava,Fire,"Cyndaquil, Typhlosion (Lv - 36)",Volcano,2,NA,NA,NA,NA,NA,NA,NA,0.9,19,23.45679012,58,64,58,80,65,80,405,Blaze,Flash Fire,NA,NA,0,0,0,0,0,0,0,0,0,0
158,Typhlosion,Fire,"Cyndaquil, Quilava",Volcano,2,Yes,Hisuian,Fire / Ghost,NP,NP,NA,NA,1.7,79.5,27.50865052,78,84,78,109,85,100,534,Blaze,Flash Fire,Blaze,Frisk,1.6,69.8,27.265625,73,84,78,119,85,95,534
159,Totodile,Water,"Croconaw (Lv - 18), Feraligatr (Lv - 30), Mega Evo (Feraligite)",Big Jaw,2,NA,NA,NA,NA,NA,Mega-Evolution,Water / Dragon,0.6,9.5,26.38888889,50,65,64,44,48,43,314,Torrent,Sheer Force,NA,NA,0,0,0,0,0,0,0,0,0,0
160,Croconaw,Water,"Totodile, Feraligatr (Lv - 30), Mega Evo (Feraligite)",Big Jaw,2,NA,NA,NA,NA,NA,Mega-Evolution,Water / Dragon,1.1,25,20.66115702,65,80,80,59,63,58,405,Torrent,Sheer Force,NA,NA,0,0,0,0,0,0,0,0,0,0
161,Feraligatr,Water,"Totodile, Croconaw, Mega Evo (Feraligite)",Big Jaw,2,NA,NA,NA,NP,NP,Mega-Evolution,Water / Dragon,2.3,88.8,16.78638941,85,105,100,79,83,78,530,Torrent,Sheer Force,NA,NA,0,0,0,0,0,0,0,0,0,0
162,Sentret,Normal,Furret (Lv - 15),Scout,2,NA,NA,NA,NA,NA,NA,NA,0.8,6,9.375,35,46,34,35,45,20,215,"Run Away, Keen Eye",Frisk,NA,NA,0,0,0,0,0,0,0,0,0,0
163,Furret,Normal,Sentret,Long Body,2,NA,NA,NA,NP,NP,NA,NA,1.8,32.5,10.0308642,85,76,64,45,55,90,415,"Run Away, Keen Eye",Frisk,NA,NA,0,0,0,0,0,0,0,0,0,0
164,Hoothoot,Normal / Flying,Noctowl (Lv - 20),Owl,2,NA,NA,NA,NA,NA,NA,NA,0.7,21.2,43.26530612,60,30,30,36,56,50,262,"Insomnia, Keen Eye",Tinted Lens,NA,NA,0,0,0,0,0,0,0,0,0,0
165,Noctowl,Normal / Flying,Hoothoot,Owl,2,NA,NA,NA,NP,NP,NA,NA,1.6,40.8,15.9375,100,50,50,86,96,70,452,"Insomnia, Keen Eye",Tinted Lens,NA,NA,0,0,0,0,0,0,0,0,0,0
166,Ledyba,Bug / Flying,Ledian (Lv - 18),Five Star,2,NA,NA,NA,NA,NA,NA,NA,1,10.8,10.8,40,20,30,40,80,55,265,"Swarm, Early Bird",Rattled,NA,NA,0,0,0,0,0,0,0,0,0,0
167,Ledian,Bug / Flying,Ledyba,Five Star,2,NA,NA,NA,NP,NP,NA,NA,1.4,35.6,18.16326531,55,35,50,55,110,85,390,"Swarm, Early Bird",Iron Fist,NA,NA,0,0,0,0,0,0,0,0,0,0
168,Spinarak,Bug / Poison,Ariados (Lv - 22),String Spit,2,NA,NA,NA,NA,NA,NA,NA,0.5,8.5,34,40,60,40,40,40,30,250,"Swarm, Insomnia",Sniper,NA,NA,0,0,0,0,0,0,0,0,0,0
169,Ariados,Bug / Poison,Spinarak,Long Leg,2,NA,NA,NA,NP,NP,NA,NA,1.1,33.5,27.68595041,70,90,70,60,70,40,400,"Swarm, Insomnia",Sniper,NA,NA,0,0,0,0,0,0,0,0,0,0
170,Crobat,Poison / Flying,"Zubat, Golbat",Bat,2,NA,NA,NA,NP,NP,NA,NA,1.8,75,23.14814815,85,90,80,70,80,130,535,Inner Focus,Infiltrator,NA,NA,0,0,0,0,0,0,0,0,0,0
171,Chinchou,Water / Electric,Lanturn (Lv - 27),Angler,2,NA,NA,NA,NA,NA,NA,NA,0.5,12,48,75,38,38,56,56,67,330,"Volt Absorb, Illuminate",Water Absorb,NA,NA,0,0,0,0,0,0,0,0,0,0
172,Lanturn,Water / Electric,Chinchou,Light,2,NA,NA,NA,NP,NP,NA,NA,1.2,22.5,15.625,125,58,58,76,76,67,460,"Volt Absorb, Illuminate",Water Absorb,NA,NA,0,0,0,0,0,0,0,0,0,0
173,Pichu,Electric,"Pikachu (Friendship), Raichu (Thunder Stone), Mega Evo X (Raichunite X), Mega Evo Y (Raichunite Y)",Tiny Mouse,2,NA,NA,NA,Alolan Raichu,Electric / Psychic,Mega-Evolution,Electric,0.3,2,22.22222222,20,40,15,35,35,60,205,Static,Lightning Rod,NA,NA,0,0,0,0,0,0,0,0,0,0
174,Cleffa,Fairy,"Clefairy (Friendship), Clefable (Moon Stone), Mega Evo (Clefablite)",Star Shape,2,NA,NA,NA,NA,NA,Mega-Evolution,Fairy / Flying,0.3,3,33.33333333,50,25,28,45,55,15,218,"Cute Charm, Magic Guard",Friend Guard,NA,NA,0,0,0,0,0,0,0,0,0,0
175,Igglybuff,Normal / Fairy,"Jigglypuff (Friendship), Wigglytuff (Moon Stone)",Balloon,2,NA,NA,NA,NA,NA,NA,NA,0.3,1,11.11111111,90,30,15,40,20,15,210,"Cute Charm, Competitive",Friend Guard,NA,NA,0,0,0,0,0,0,0,0,0,0
176,Togepi,Fairy,"Togetic (Friendship), Togekiss (Shiny Stone)",Spike Ball,2,NA,NA,NA,NA,NA,NA,NA,0.3,1.5,16.66666667,35,20,65,40,65,20,245,"Hustle, Serene Grace",Super Luck,NA,NA,0,0,0,0,0,0,0,0,0,0
177,Togetic,Fairy / Flying,"Togepi, Togekiss (Shiny Stone)",Happiness,2,NA,NA,NA,NA,NA,NA,NA,0.6,3.2,8.888888889,55,40,85,80,105,40,405,"Hustle, Serene Grace",Super Luck,NA,NA,0,0,0,0,0,0,0,0,0,0
178,Natu,Psychic / Flying,Xatu (Lv - 25),Tiny Bird,2,NA,NA,NA,NA,NA,NA,NA,0.2,2,50,40,50,45,70,45,70,320,"Synchronize, Early Bird",Magic Bounce,NA,NA,0,0,0,0,0,0,0,0,0,0
179,Xatu,Psychic / Flying,Natu,Mystic,2,NA,NA,NA,NP,NP,NA,NA,1.5,15,6.666666667,65,75,70,95,70,95,470,"Synchronize, Early Bird",Magic Bounce,NA,NA,0,0,0,0,0,0,0,0,0,0
180,Mareep,Electric,"Flaaffy (Lv - 15), Ampharos (Lv - 30), Mega Evo (Ampharosite)",Wool,2,NA,NA,NA,NA,NA,Mega-Evolution,Electric / Dragon,0.6,7.8,21.66666667,55,40,40,65,45,35,280,Static,Plus,NA,NA,0,0,0,0,0,0,0,0,0,0
181,Flaaffy,Electric,"Mareep, Ampharos (Lv - 30), Mega Evo (Ampharosite)",Wool,2,NA,NA,NA,NA,NA,Mega-Evolution,Electric / Dragon,0.8,13.3,20.78125,70,55,55,80,60,45,365,Static,Plus,NA,NA,0,0,0,0,0,0,0,0,0,0
182,Ampharos,Electric,"Mareep, Flaaffy, Mega Evo (Ampharosite)",Light,2,NA,NA,NA,NP,NP,Mega-Evolution,Electric / Dragon,1.4,61.5,31.37755102,90,75,85,115,90,55,510,Static,Plus,NA,NA,0,0,0,0,0,0,0,0,0,0
